taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG2_H5N1/member/iav-ncbi-refseqs-seg2/MW875654	MW875654	-	2316	NULL	USA	2020	Arenaria interpres	feces	B10|E1|A11|H4|A11|N9|B|A	H4N9	A/ruddy turnstone/Delaware Bay/235/2020
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752446_PB1	SRR28752446_PB1	-	-	-	USA	2024	Blackbird	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752447_PB1	SRR28752447_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752448_PB1	SRR28752448_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752449_PB1	SRR28752449_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752450_PB1	SRR28752450_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752451_PB1	SRR28752451_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752452_PB1	SRR28752452_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752453_PB1	SRR28752453_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752454_PB1	SRR28752454_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752455_PB1	SRR28752455_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752456_PB1	SRR28752456_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752457_PB1	SRR28752457_PB1	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752458_PB1	SRR28752458_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752459_PB1	SRR28752459_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752460_PB1	SRR28752460_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752461_PB1	SRR28752461_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752462_PB1	SRR28752462_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752463_PB1	SRR28752463_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752464_PB1	SRR28752464_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG2_H5N1/member/iav-andersen-h5n1/SRR28752465_PB1	SRR28752465_PB1	-	-	-	USA	2024	Cattle	-	-	H5N1	-
