taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG1_H5N1/member/iav-ncbi-refseqs-seg1/MW876049	MW876049	-	2316	NULL	USA	2020	Arenaria interpres	feces	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/ruddy turnstone/Delaware Bay/209/2020
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752446_PB2	SRR28752446_PB2	-	-	-	USA	2024	Blackbird	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752447_PB2	SRR28752447_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752448_PB2	SRR28752448_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752449_PB2	SRR28752449_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752450_PB2	SRR28752450_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752451_PB2	SRR28752451_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752452_PB2	SRR28752452_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752453_PB2	SRR28752453_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752454_PB2	SRR28752454_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752455_PB2	SRR28752455_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752456_PB2	SRR28752456_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752457_PB2	SRR28752457_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752458_PB2	SRR28752458_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752459_PB2	SRR28752459_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752460_PB2	SRR28752460_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752461_PB2	SRR28752461_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752462_PB2	SRR28752462_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752463_PB2	SRR28752463_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752464_PB2	SRR28752464_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752465_PB2	SRR28752465_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752466_PB2	SRR28752466_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752467_PB2	SRR28752467_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752468_PB2	SRR28752468_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752469_PB2	SRR28752469_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752470_PB2	SRR28752470_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752471_PB2	SRR28752471_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752472_PB2	SRR28752472_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752473_PB2	SRR28752473_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752474_PB2	SRR28752474_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752475_PB2	SRR28752475_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752476_PB2	SRR28752476_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752477_PB2	SRR28752477_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752478_PB2	SRR28752478_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752479_PB2	SRR28752479_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752480_PB2	SRR28752480_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752481_PB2	SRR28752481_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752482_PB2	SRR28752482_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752483_PB2	SRR28752483_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752484_PB2	SRR28752484_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752485_PB2	SRR28752485_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752486_PB2	SRR28752486_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752487_PB2	SRR28752487_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752488_PB2	SRR28752488_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752489_PB2	SRR28752489_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752490_PB2	SRR28752490_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752491_PB2	SRR28752491_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752492_PB2	SRR28752492_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752493_PB2	SRR28752493_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752494_PB2	SRR28752494_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752495_PB2	SRR28752495_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752496_PB2	SRR28752496_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752497_PB2	SRR28752497_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752498_PB2	SRR28752498_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752499_PB2	SRR28752499_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752500_PB2	SRR28752500_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752501_PB2	SRR28752501_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752502_PB2	SRR28752502_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752503_PB2	SRR28752503_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752504_PB2	SRR28752504_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752505_PB2	SRR28752505_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752506_PB2	SRR28752506_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752507_PB2	SRR28752507_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752508_PB2	SRR28752508_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752509_PB2	SRR28752509_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752510_PB2	SRR28752510_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752511_PB2	SRR28752511_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752512_PB2	SRR28752512_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752513_PB2	SRR28752513_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752514_PB2	SRR28752514_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752515_PB2	SRR28752515_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752516_PB2	SRR28752516_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752517_PB2	SRR28752517_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752518_PB2	SRR28752518_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752519_PB2	SRR28752519_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752520_PB2	SRR28752520_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752521_PB2	SRR28752521_PB2	-	-	-	USA	2024	Grackle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752522_PB2	SRR28752522_PB2	-	-	-	USA	2024	Skunk	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752523_PB2	SRR28752523_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752524_PB2	SRR28752524_PB2	-	-	-	USA	2024	Cat	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752525_PB2	SRR28752525_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752526_PB2	SRR28752526_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752527_PB2	SRR28752527_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752528_PB2	SRR28752528_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752529_PB2	SRR28752529_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752530_PB2	SRR28752530_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752531_PB2	SRR28752531_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752532_PB2	SRR28752532_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752533_PB2	SRR28752533_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752534_PB2	SRR28752534_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752535_PB2	SRR28752535_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752536_PB2	SRR28752536_PB2	-	-	-	USA	2024	Chicken	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752537_PB2	SRR28752537_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752538_PB2	SRR28752538_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752539_PB2	SRR28752539_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752540_PB2	SRR28752540_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752541_PB2	SRR28752541_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752542_PB2	SRR28752542_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752543_PB2	SRR28752543_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752544_PB2	SRR28752544_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
alignment/AL_IAV_SEG1_H5N1/member/iav-andersen-h5n1/SRR28752545_PB2	SRR28752545_PB2	-	-	-	USA	2024	Cattle	-	-	H5N1	-
