taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY005059	CY005059	16439620	1453	-	-	-	-	-	-	-	A/mallard duck/ALB/435/1985
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY005135	CY005135	16439620	1466	Delaware	USA	1988	Aves	-	B8|E1|A10|H9|A11|N6|A|A	H9N6	A/ruddy turnstone/DE/510/1988
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY005366	CY005366	16439620	1469	Delaware	USA	2000	Aves	-	B9|E1|A3|H12|A11|N5|B|A	H12N5	A/ruddy turnstone/DE/97/2000
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY005802	CY005802	16439620	1457	-	-	-	-	-	-	-	A/equine/Prague/1/1956
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY067680	CY067680	22427902	1460	Santa Rosa	Guatemala	2008	Anas discors	cloacal swab	B9|E1|A3|H7|A11|N9|B|A	H7N9	A/blue-winged teal/Guatemala/CIP049-02/2008
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY075056	CY075056	-	1458	Guangxi	China	2007	Sus scrofa	Nasal Swab	A3|D1|A11|H9|A8|N2|A|A	H9N2	A/swine/Guangxi/10/2007
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY079173	CY079173	-	1425	Minto Flats, Interior Alaska	USA	2008	Anas acuta	-	B4|E1|A11|H3|A11|N8|B|B	H3N8	A/northern pintail/Interior Alaska/8BM3731/2008
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY096650	CY096650	22427902	1463	Santa Rosa	Guatemala	2010	Anas discors	Cloacal swab	B9|E1|A3|H8|A11|N4|B|A	H8N4	A/blue-winged teal/Guatemala/CIP049-04/2010
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY103894	CY103894	22371588	1390	-	-	-	-	-	-	-	A/little yellow-shouldered bat/Guatemala/060/2010
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY125947	CY125947	24130481	1426	-	-	-	-	-	-	-	A/flat-faced bat/Peru/033/2010
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/CY241065	CY241065	-	1442	Cape May Co., NJ	USA	2016	Environment	-	B10|E1|A3|H10|A5|N2|B|B	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/DQ376696	DQ376696	17274295	1421	NULL	Taiwan	1999	Gallus gallus	-	A3|D1|A12|H6|A8|N1|A|A	H6N1	A/chicken/Taiwan/0705/99
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/EU030986	EU030986	17997603	1435	NULL	USA	2006	Leucophaeus atricilla	allantoic fluid harvested from an infected egg	B10|E1|A3|H7|A11|N3|B|A	H7N3	A/laughing gull/Delaware/42/06
alignment/AL_IAV_SEG6_H5N1/member/iav-ncbi-refseqs-seg6/GQ247863	GQ247863	-	1328	England	United Kingdom	1956	Anseriformes sp.	-	A3|E1|A7|H11|A8|N6|A|A	H11N6	A/duck/England/1956
