taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/AB284320	AB284320	15331693	1765	-	-	-	-	-	-	-	A/Aichi/2/1968
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/AF285883	AF285883	10982381	1695	-	-	-	-	-	-	-	A/Swine/Ontario/01911-2/99 (H4N6)
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/AY338459	AY338459	14745020	1737	-	-	-	-	-	-	-	A/Netherlands/219/2003
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY005988	CY005988	16439620	1742	Delaware	USA	1988	Aves	-	B8|E1|A10|H9|A11|N6|A|A	H9N6	A/ruddy turnstone/DE/510/1988
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY006008	CY006008	16439620	1737	Delaware	USA	2000	Aves	-	B9|E1|A3|H12|A11|N5|B|A	H12N5	A/ruddy turnstone/DE/97/2000
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY006009	CY006009	16439620	1762	-	-	-	-	-	-	-	A/duck/AUS/341/1983
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY014604	CY014604	16439620	1748	-	-	-	-	-	-	-	A/mallard duck/Astrakhan/263/1982
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY014630	CY014630	16439620	1739	-	-	-	-	-	-	-	A/red-necked stint/Australia/4189/1980
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY014659	CY014659	16439620	1744	-	-	-	-	-	-	-	A/turkey/Ontario/6118/1968
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY014679	CY014679	16439620	1760	England	United Kingdom	1956	Anseriformes sp.	-	A3|E1|A7|H11|A8|N6|A|A	H11N6	A/duck/England/1956
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY014694	CY014694	16439620	1768	-	-	-	-	-	-	-	A/gull/Maryland/704/1977
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY015115	CY015115	16439620	1773	-	-	-	-	-	-	-	A/chicken/Italy/312/1997
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY031336	CY031336	-	1775	-	-	-	-	-	-	-	A/New Caledonia/20/1999(H1N1)
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY067678	CY067678	22427902	1731	Santa Rosa	Guatemala	2008	Anas discors	cloacal swab	B9|E1|A3|H7|A11|N9|B|A	H7N9	A/blue-winged teal/Guatemala/CIP049-02/2008
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY075054	CY075054	-	1742	Guangxi	China	2007	Sus scrofa	Nasal Swab	A3|D1|A11|H9|A8|N2|A|A	H9N2	A/swine/Guangxi/10/2007
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY079171	CY079171	-	1731	Minto Flats, Interior Alaska	USA	2008	Anas acuta	-	B4|E1|A11|H3|A11|N8|B|B	H3N8	A/northern pintail/Interior Alaska/8BM3731/2008
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY096648	CY096648	22427902	1744	Santa Rosa	Guatemala	2010	Anas discors	Cloacal swab	B9|E1|A3|H8|A11|N4|B|A	H8N4	A/blue-winged teal/Guatemala/CIP049-04/2010
alignment/AL_IAV_SEG4_H5N1/member/iav-ncbi-refseqs-seg4/CY103892	CY103892	22371588	1784	-	-	-	-	-	-	-	A/little yellow-shouldered bat/Guatemala/060/2010
